Cell,'Hmga2','Ascl1','Fos','Atf3','Hmga1','Eno1','Hes6','Trp53','Egr1','Zfp36l2','Sox11','Zfp57','Lyar','Ncoa1','Ets1','Zfp238','Prrx1','Lrrfip1','Klf6','Ebf1','Fosl1','Tfdp1','Id2','Zfp207','Bola2','Smarcb1','Phb','Jun','Aebp1','Phf5a','Plagl1','Nfkbia','Snai2','Tsc22d3','Tgif1','Fosb','Rorc','Maf','Tet2','Ezh2','Ddit3','Hbp1','Myc','Tcf19','Nfic','Ssrp1','Zmat5','Sox9','Zfp260','Stat6','Phb2','Scx','Bola3','Atf4','Zbtb20','Csda','Tcf12','Foxp2','Tcf4','Matr3','Fubp1','Tsc22d1','Atoh8','Mef2a','Creb3','Nono','Noc4l','Tax1bp3','Cenpt','Maf1','Sp1','Stat1','Sfpq','Zfp317','Nr1d1','Fosl2','Gatad1','Dnajc2','Foxs1','Mef2c','Kdm5b','Nfe2l1','Pcbp1','Irf9','Khsrp','Nfyb','Nfia','Creb3l1','Pcbp2','Mier1','Klf4','Rela','Mkx','Junb','Nr2f2','Dnmt3a','Runx1t1','Klf10','Zeb2','Zfhx4'
"'""d2_induced""'",3.9114,5.7411,4.4248,0,0,1.6735,7.287,5.3855,5.575,0,8.3176,7.109,5.3462,5.0678,3.9561,3.616,3.9754,0,4.4323,0,0,0,10.806,7.2893,4.2562,0,0,2.1468,0.69588,5.5687,0,5.8347,0,0,3.9683,0,0,3.2137,4.5945,4.7037,0,5.6762,0,0,0.30193,3.745,2.1672,5.9433,3.0641,0,5.5471,1.5181,0,5.2672,4.4424,4.4611,5.7769,3.1757,4.8999,6.1701,4.0961,7.9191,0.84825,0,5.8316,6.4694,0,6.2222,5.5693,0,4.1785,0,5.1337,6.1684,0,0,5.4488,0,0,0,4.9233,0,4.7683,0,3.3146,1.6493,6.739,3.743,6.5598,4.4949,4.4288,3.1669,6.279,0.23771,5.1693,2.6774,5.0654,6.1487,0,3.0968
"'""d2_induced""'",0,6.8368,0,0,0,0,7.8271,0,7.1214,2.4599,7.4838,6.0057,0,5.5755,0,6.8481,4.0069,0,1.6841,0,0,3.6082,10.488,6.8263,0,0,1.4619,0.86279,3.5638,2.3634,0,2.559,0,0,1.5196,0,0,5.1978,3.935,0,1.0058,7.5305,0,0,2.2279,0,3.5137,5.0839,0.79797,0,3.4701,3.6996,0,0,2.3909,6.1162,7.3437,0.26503,5.5734,8.763,4.1693,4.9324,3.9175,5.0108,7.0631,6.2282,0,5.5109,0,4.3879,3.7902,0,6.0415,8.1233,0,0,6.6234,5.1768,0,0,4.6861,1.4211,3.7902,0,3.3495,6.0364,5.3731,0,5.4773,6.1201,0,4.6529,0,0,5.6102,4.2421,7.0681,5.4248,0,2.8306
"'""d2_induced""'",4.2593,7.3738,0,0,0,0,7.9993,0,0.04765,0,9.2123,6.7353,1.1018,4.8836,0,2.4134,4.2392,5.1687,0,0,0,0.95712,10.36,5.4568,0,2.6082,3.6758,1.5771,4.4403,0,0,4.6584,0,0.7263,1.2878,0,0,2.5989,4.9936,0.2771,0,7.836,4.0103,0,0,3.0388,0,2.1826,5.7614,0,0,0,3.9515,0,0,2.9993,0.66728,1.5336,4.9836,5.9027,3.7404,7.2507,0,4.4704,6.3184,6.3128,0,8.3008,5.4201,5.6548,5.1024,0,5.7119,4.1654,0,0,5.7583,0,1.3703,4.34,5.469,6.2446,1.986,0,4.0439,4.4166,6.9247,0,0,3.9519,1.0615,3.5601,0,0.83329,3.7611,0.7833,6.0995,3.8683,1.0196,0
"'""d2_induced""'",0,8.4599,5.2698,0,0,3.411,7.3225,0,7.5545,0,9.3699,4.8825,0,5.6777,4.326,5.297,0.36308,5.1123,0,6.963,0,0,10.905,5.0559,4.0734,0,0.10343,3.2931,3.4847,0,0,6.0572,0,0,2.3463,3.2321,0,5.6952,3.6316,3.6664,0,8.2806,0,5.2085,0,0,0,6.6059,0,0,5.1781,2.8703,6.9312,5.7564,0,0,7.0513,5.4251,6.4483,5.2907,3.3428,4.1122,4.1344,5.1197,1.3126,5.5577,0,8.8076,0,2.5142,2.88,0,4.2362,0,0,0,4.5747,1.9043,0,0,0,0.23452,0,0,3.3832,6.6708,4.6499,5.4045,4.6178,1.334,0,0,0,0,6.9044,0,5.3721,5.0831,0,0
"'""d2_intermediate""'",7.8613,5.1891,3.0947,0,0,3.8201,4.3493,5.8045,4.4935,6.6108,0,0,5.8416,4.3738,5.8891,5.2755,5.1693,5.4745,6.6734,0,0,4.3792,9.0347,7.0141,2.9995,5.9331,4.0238,0,2.0708,5.2452,2.9557,4.7459,0,0,6.5685,0,0,7.083,3.6104,0,2.7878,6.3974,3.2436,0,1.5252,3.9188,4.1464,2.6198,6.0161,0,5.1658,1.3061,6.8573,3.6004,0,5.1278,4.1436,0,4.6424,6.3175,3.7441,5.5255,0,0,5.872,5.5989,3.0304,6.5704,4.6056,0,1.863,5.0491,6.421,5.2497,0,5.1655,6.4206,2.3315,0,0,2.9207,0,5.1139,2.5684,3.6398,3.2225,5.6767,2.7433,6.5633,5.837,1.8702,0,4.4807,0,5.1278,4.1975,4.6769,6.5263,3.0959,3.0037
"'""d2_induced""'",0,6.502,0,0,0,0,6.0813,0,1.0457,0,7.2114,6.6134,0,5.3356,0,6.3498,0,4.3863,0,0,0,0.98029,9.7971,5.8296,4.6228,0,1.3478,0.57411,0.62395,4.8384,6.0442,4.8016,0,5.8289,0,0,0,2.5398,4.3394,2.1872,0,7.4736,0,0,1.9158,4.3419,4.9059,6.3262,0,0,0,0,0,6.3995,1.447,0.60904,5.7271,5.0557,5.2637,7.3317,5.4316,7.075,1.7811,0.14854,4.1339,6.8358,0,7.1936,0,1.345,3.7275,0,2.6697,6.0924,0,0,6.1565,0,0,0,4.7153,1.0168,2.0103,0,1.8907,2.2401,5.0987,4.2443,5.3072,4.6162,0,0,6.2398,0,5.5473,4.0903,6.8141,7.2166,4.2779,2.4404
"'""d2_intermediate""'",5.6822,4.6734,5.0689,0,0,0,5.7605,0.81273,3.5717,0,6.5346,0,3.8373,4.0534,0,4.5379,4.6115,2.9515,4.2194,0,0,0,8.2518,1.1596,4.5859,6.1696,0,4.4351,4.9963,0,0,4.5855,1.8321,2.3787,0,0,0,0,1.113,0,0,5.6437,0,0,0,4.6265,0,4.0549,5.037,0,1.6632,0,0,6.6376,0,3.7981,4.859,0.41916,1.0932,5.8811,3.8034,7.2657,0,0,0,6.8507,0,4.1795,0,0,0,0,3.6008,5.2719,3.2481,0,7.9653,0.58924,0,0,4.4972,0.97107,0,0,3.6037,0,5.9981,3.2916,0,3.9456,1.3763,0,0,0,2.8055,0.63438,6.3703,4.9457,1.9795,0
"'""d2_induced""'",0,6.7793,2.2332,0.0042199,0,0,6.8703,4.3003,4.1681,0,6.9927,4.8714,0,5.2693,0,4.2072,0,3.3616,4.8481,0,0,4.8332,10.253,8.6348,4.624,5.9172,0,2.6458,3.0167,0,0,5.796,2.4355,0,5.5247,0,4.9327,6.4708,3.5226,0,3.8708,7.2355,0,0,0.80895,0,3.185,5.8459,1.34,0,4.8291,2.9298,2.4362,6.7866,3.6751,5.223,6.9861,0.89443,5.1045,6.2447,4.2605,5.0766,0,0,5.5564,7.4162,0,6.7695,0,0,0,0,3.9827,4.8965,2.6407,0.78952,6.2052,0,0,0,1.5447,2.3572,2.9788,0,3.0356,4.8274,4.6039,0,6.2368,5.7511,0,0,0,2.9267,5.1303,4.5234,6.8048,4.6988,0,0
"'""d2_intermediate""'",5.2519,3.1036,5.7017,0,2.8843,3.3783,5.1816,2.5587,5.4803,5.9567,5.4399,6.1566,1.3168,2.4462,4.4851,0,6.6225,4.1333,5.1068,0,3.3317,0,10.189,4.2792,0,0,4.5342,0,3.7415,5.1715,0,0,5.5823,0.92791,4.759,0,0,3.9259,3.9821,0,2.6416,7.3128,0,0,0.48878,4.7688,0,3.8624,1.6416,0,3.7836,0,0,6.5775,2.7712,4.5679,4.8791,3.9766,3.8204,7.4354,4.9547,5.327,0,5.3796,7.7063,4.2179,0,5.6762,0,3.6688,4.2533,2.0325,4.8569,4.7856,2.6446,3.8692,6.6574,3.758,0,0,5.2766,2.0337,4.3864,0,2.6876,7.1994,2.7844,0,5.5057,5.3108,2.4164,0,6.2619,0,5.0445,0,6.1725,0,0,1.765
"'""d2_induced""'",0,3.5576,0,0,0,0,5.9947,4.7838,4.2583,1.0776,8.4267,4.2756,0,4.837,0,6.2099,0,1.1485,0,0,0,0,11.197,7.4785,5.027,0,5.3158,0.77563,4.5609,5.2733,0,4.276,0,1.1106,7.1176,0,0,5.8573,0,6.5255,0,7.3565,0,1.4308,3.2599,0.019177,0,8.2702,0,2.8273,0,1.4366,0,0,0,0,6.4348,0.041779,6.1563,2.5832,0.16364,0.73412,0,1.742,5.5244,4.7876,0,7.4021,0,0,0,3.1411,4.7442,2.0051,4.2437,2.9,5.0167,2.2806,0,0,5.1062,2.9205,2.9632,0,2.5999,5.4042,3.221,4.7608,5.5803,0,0,0,6.5955,0,4.6169,0,5.8551,3.653,2.8171,1.9432
"'""d2_induced""'",3.9547,8.1782,0,0,0,0,4.6175,0,0,0,7.9449,7.89,0,5.2375,0,6.5449,5.3193,6.3744,0,0,0,0,10.188,7.6544,0,4.9185,3.8248,5.7883,3.5886,6.1935,0,0,0,1.0165,4.5747,0,0,6.8351,0,0,0,8.7777,2.3727,0,0,2.8346,3.4419,6.8916,2.1519,0,5.0321,0,7.562,0,0,4.3834,9.0751,2.4657,6.3499,8.502,0,1.0486,4.6753,0,1.1059,5.9096,0,8.6972,0,0,2.985,0,2.534,6.738,0,0,5.1796,0,0,6.5973,2.9826,0,3.6974,0,4.55,0,5.9866,0,8.3255,0,0,0,7.1025,2.9332,4.4394,6.0855,6.907,6.0631,4.486,0
"'""MEF""'",8.8044,0,0,0,2.9806,3.5313,0.66281,5.4041,4.6847,2.3222,5.3874,0,5.7071,0,6.0497,2.7679,5.8443,5.5658,6.7863,0,0,3.262,8.2043,6.4273,5.5804,5.5402,3.6937,0,4.0952,1.8977,0,0,0,0,7.1625,0,0,0,0,1.8768,0,0,2.8834,3.3449,2.1971,5.0067,5.0629,1.7764,4.9426,6.9319,4.0909,0,6.0114,5.9387,0,6.8908,4.0487,0,4.0778,8.096,1.2847,7.8063,0,4.015,3.7018,5.844,0,5.9201,5.0572,0,4.4131,0,7.0894,6.5327,0,5.188,6.8658,4.2184,0,0,0,1.2988,5.8695,0,3.3836,7.0824,3.0947,4.5793,6.8551,5.3632,0,0,0,0,6.1712,2.7504,0,6.6582,0.50228,4.3678
"'""d2_induced""'",0,7.9217,0,0,0,2.8345,7.3265,0,0,0,7.6007,6.7069,4.5112,6.0431,0,5.6415,0,2.7725,0,0,0,0,9.4368,4.0956,3.5612,2.8645,0,2.4659,2.4374,1.2615,0,0,0,3.9256,0,0,5.0605,5.271,0.80047,1.3169,0,8.2688,0,0,0,0,4.878,3.3401,7.335,0,1.1659,0,6.8441,0,0,3.8984,7.2394,3.8321,4.6033,5.4026,0,4.4404,4.8784,0,0.32873,4.3982,0,7.6768,0,0,2.1899,2.079,1.0512,5.1298,0,0,5.2095,0.50366,0,0,1.712,0,2.9412,0,1.4563,0,4.3572,0,5.709,5.8372,0,0,0,0,1.7169,3.7158,6.6952,7.569,0.44886,0
"'""MEF""'",8.5487,0,0,6.2578,3.8086,4.9114,0,3.3263,6.3274,6.3768,6.9111,7.4573,0,0,5.4204,4.3693,2.2866,4.131,7.6901,3.6313,6.066,2.5732,9.7565,2.2859,6.3432,6.1598,3.5246,0,0,4.6853,0,5.9532,0.21885,2.1574,0,0,0,0,0,0,1.1959,0,1.943,2.815,0,3.857,0,1.4303,4.5588,0,0.43302,0,4.0294,4.5498,0,3.0523,6.6288,0,4.8349,4.7361,3.9072,6.6634,0,2.2494,0,6.9726,0,5.803,0.0088512,2.3351,5.3887,0,2.2323,3.0837,3.8026,3.291,7.324,0,0,0,1.1277,1.1727,1.1002,0,4.5721,0,3.3971,4.4713,5.7139,0,4.5765,0,0,1.1668,5.6254,0,3.8435,7.6217,1.4309,0
"'""MEF""'",7.4556,0,5.1769,0,0,4.8442,0,4.3337,8.1333,6.2269,0,5.3763,4.6652,0.11115,5.9358,0,5.2585,6.963,7.998,1.5515,4.9946,3.7156,8.1372,7.8973,2.5707,0,4.6542,0.51892,0,5.9845,0.24307,4.1716,0,0,7.5319,3.107,0,0,1.8559,2.8814,3.8153,3.9935,0,5.3564,1.578,5.889,0.54474,0,0,0,1.5636,0,5.9054,5.7227,0,5.5936,6.118,0,4.2002,4.0727,3.0642,5.7564,0,0,0,6.2901,2.8045,6.6541,2.4508,0,4.8285,0,3.9187,0,0,0,6.8375,4.1846,1.6261,0,3.2323,2.578,4.698,0,2.9372,5.0016,3.193,0.3109,4.0685,6.8757,0,0.033786,0,0.063074,5.8917,0,5.4182,3.1742,2.0783,3.8961
"'""d2_intermediate""'",7.0954,5.8487,1.2827,0,3.3282,0,5.6066,4.4096,4.3545,4.5965,6.1281,0,0,4.1647,5.6394,3.5889,3.6243,6.329,4.0308,4.03,0,3.2042,8.6662,4.0621,0,0,3.9193,0.21037,0.58152,0,0,4.785,3.3474,0,1.5504,0,0,4.3516,0,0,0,5.5949,1.0689,0,0,2.6775,5.3605,5.7859,6.937,0,5.1601,0.29976,6.9505,4.5954,0,4.1226,3.504,0,5.4364,6.9733,5.113,5.2336,3.8513,0,6.0773,5.9784,5.1581,7.8751,0,0,5.4545,0.22285,3.2777,3.4781,0,0,6.6876,4.8346,0,0,4.2246,0,5.3405,0,2.0858,4.2556,4.6072,0,5.8295,1.0519,5.3827,0,0,0,5.0245,0,6.0607,6.825,0,2.3614
"'""d2_induced""'",0,5.6628,3.1227,0,0,4.6617,5.6218,0,4.3527,0,6.0742,3.0666,0,4.7268,0,6.808,4.5525,5.5731,0,0,0,0,11.572,5.6111,4.2258,7.3231,0,0.59599,0,5.0123,0,5.6552,4.0127,4.69,2.9227,0,0,0,5.6011,4.5263,0,5.9891,0,0,0,2.3416,6.9624,5.5887,6.3278,0,0,1.2513,0,0,0,2.9465,4.525,0,6.9287,4.9691,0,8.1168,3.905,5.5791,7.9879,6.2435,0,5.9086,0,3.6372,0,3.1917,5.2086,0,0,0,5.5265,4.6495,0,0,6.0379,0,4.4854,0,3.7534,0,7.1203,0,4.9178,5.9521,1.9883,0,6.0758,0,4.1285,0,6.8438,4.4028,0,5.2805
"'""d2_induced""'",0,6.8302,0.12138,0,0,3.8141,6.6446,5.9583,3.7966,0,8.8988,5.6413,5.0648,5.4883,0,6.053,4.9432,3.6333,1.0412,0,0,4.5431,11.703,8.5481,3.1496,0,3.4133,3.0917,3.4484,6.0911,0,3.6915,4.1242,1.9546,0,0,0,6.6585,0,0,0,6.5397,0,0,2.104,5.3786,5.5249,3.9576,5.778,0,0,5.5891,6.5386,3.847,0,0,1.5525,4.0159,6.3051,7.4624,5.3399,4.3892,3.2581,0,0,7.852,0,7.5318,0,0.86781,5.2387,1.0669,5.9216,6.948,0,4.3965,7.2441,5.1194,0,0,3.3143,0,4.0299,1.5291,4.6963,0,4.6794,0,7.5755,5.1497,3.8835,0,4.984,0,5.8676,0,4.95,4.9635,0,4.3464
"'""d2_induced""'",0,6.6331,0,0,0,0,7.6781,0,0,1.4818,6.7213,1.2944,0,5.633,0,5.4603,2.3684,0,0,0,0,0,9.6473,0,4.0002,6.2463,0,3.2244,3.6347,5.7198,0,4.8413,0,0,6.6786,0,0,6.3133,4.7918,0,0,6.0212,0,0,0,0,6.0302,5.3434,0,0,0,2.8542,0,0,0,0.34944,7.4252,3.2052,4.3406,6.1794,0.8307,6.1673,5.3512,1.351,0,6.6318,0,6.8718,0,1.7635,2.8197,0,6.6904,6.5643,0,0,6.5546,0,0,0,0.79264,3.0824,5.8453,0,4.0306,6.6887,5.3739,0,3.8038,5.115,2.7572,0,6.5807,0.59306,6.0156,3.2138,7.5962,6.5937,0,4.8618
"'""d2_intermediate""'",6.1391,3.2863,4.5392,0,0,2.7337,3.7658,5.8077,4.5156,4.2315,7.3601,3.6672,5.5853,1.9245,0.42738,3.4658,5.5693,0,5.9822,3.0552,0,4.973,6.9184,2.0723,5.1953,1.6961,4.1401,0.85699,1.854,4.9133,0,1.9708,4.9206,0,0,0.11209,0,3.5177,3.8968,4.4073,5.7238,6.1293,2.1934,0,0.499,5.607,3.195,5.8331,3.024,0,5.085,0,5.6752,4.5731,0,5.6712,4.5003,1.0787,4.0371,6.3603,4.3722,5.7465,2.5202,3.7638,1.7453,5.9915,3.5561,7.3378,4.8862,4.397,4.4809,0,5.1109,5.721,0,4.1826,7.2349,3.8378,0,0,4.0087,2.1929,5.4846,0,3.2265,3.9177,3.923,4.3589,4.8326,4.4989,3.0511,0,6.2765,0,4.3831,2.7344,5.2409,5.8613,2.9161,0
"'""d2_induced""'",0,8.5517,0,0,0,1.9943,9.0133,6.2929,0,0,6.1226,0,1.0935,3.7108,0,3.722,2.6815,0,0,0,0,0,10.246,0,0,0,0,1.9603,0,3.2173,0,2.6493,0,4.4449,0,0,0,0,1.2529,0,0,9.0468,0,0,2.7088,6.7527,5.0719,6.1509,5.5509,0,4.9345,0,2.4765,2.7956,0,0,8.5332,0,2.2286,8.4526,2.6277,5.4598,5.2002,6.0177,0,7.7407,4.2391,8.7365,0,7.3611,4.1597,0,1.883,0,0,0,6.9446,5.7218,0,0,1.8736,6.2945,5.009,0,3.9131,0,6.2258,0,8.1618,0,0,0,0,0,5.5163,0,4.7749,6.4758,0,0
"'""d2_induced""'",0,3.8541,3.8096,0,0,1.4561,7.0147,7.1935,3.578,5.4538,3.7657,6.6753,0,5.2738,0,2.4012,1.2045,5.5639,0.88615,1.295,0,0,10.601,4.8251,2.5351,0,0,0,5.1171,0,5.0762,5.0632,0,2.5458,0,0,0,6.4304,2.5679,7.5072,0,6.8261,0,0,0,0,0,5.719,6.7706,0,0,3.6554,4.1397,5.9268,3.9952,0,5.5872,0,5.5227,5.9672,0,4.8305,1.9577,1.2552,5.9041,6.4419,0,7.3216,0,3.7538,0,1.2969,3.3457,5.7327,3.8033,2.6355,6.8713,0,0,2.5231,3.5801,0,3.0713,0,4.0914,0,6.2148,4.6133,3.0201,0,0,5.1312,4.7317,2.5075,4.5853,0,5.0433,4.0889,0,3.1241
