cell,'GATA6','NANOG','T','EOMES','ID2','PRDM1','ID1','ZNF516','SHOX2','TBX3','GATA4','OTX2','HAND1','NFIB','SOX2','MSX1','KLF8','GRHL2','ZNF521','BHLHE40','TFAP2A','GATA3','ZEB2','BNC2','KAT7','NFE2L3','ZEB1','FOXF1','PITX2','HOXB3','ID4','ZNF165','TCF7L2','POU5F1','SP5','ZIC3','TRPS1','ID3','AEBP2','CDX1','TCF7L1','MIER1','KLF6','MYCN','SMAD2','PLAGL1','ZSCAN10','ZNF652','HOXB6','MSX2','SOX5','ZFP36L2','LEF1','BCL11A','HBP1','IRX3','MEIS2','ZFX','TERF1','TOX','FOXH1','HESX1','SOX11','KLF10','ZIC5','BBX','RNF138','SATB1','BAZ2B','ELK3','ZBTB2','ETV5','SP6','ZFP42','TULP4','ZNF471','ARID4B','SNAI2','ZNF483','MAF','ETV6','ZKSCAN1','ETV1','TMF1','HIF3A','SALL2','SHOX','SALL1','SMAD7','ZNF587','SOX17','ZFP62','SRF','JUND','TUB','ZFP14','ARID3A','CEBPZ','E2F4','TCF7'
0,0,5.3555,0,0,3.434,0,2.3026,3.0445,0,0,0,4.0425,0,0,4.1744,0,2.958,4.3307,3.091,0,0,0,0,5.5298,6.0544,5.512,0,0,0,0,0,5.8198,4.9698,5.1055,0,3.5264,2.0794,5.9349,7.014,0,3.912,6.1675,4.3567,4.2469,6.137,5.0496,4.9053,6.128,0,1.0986,0,5.4553,0,4.9904,5.1151,0,0,5.7471,8.1349,4.1431,3.3673,0,7.215,0,4.0943,4.92,5.9776,4.7791,5.3083,0,4.92,4.3694,0,5.76,5.7827,4.4178,6.0438,0,4.0704,1.0986,5.2782,4.2958,3.8918,5.3122,2.268,4.4308,3.0924,1.7918,0,5.0577,0,5.1299,0,1.7918,4.8402,2.5557,0,7.0012,4.4773,2.3036
0,0,6.7871,0,0,2.0794,0,0,0.41871,0,0,0,0.69315,0,5.4596,5.1874,0,1.7011,5.3891,0,0,0,0,0,1.3863,6.4696,2.7081,0,0,0,0,0,1.6094,6.0115,5.5972,0,2.3026,4.92,3.8712,7.6259,0,4.3694,5.2933,1.0986,0,7.0002,0,3.4657,6.2943,0,0,0,5.0239,0,5.1853,1.0986,0,0,6.7197,7.7721,0,0,1.6094,7.1776,4.9273,5.1874,4.7791,4.6609,0,1.7918,0,3.3464,2.7726,0,5.2516,6.5294,5.8031,5.5872,0,5.5727,0.68813,5.5326,2.6326,5.193,2.1282,3.3322,6.8696,4.0902,4.2905,3.434,5.609,0,5.0239,2.4849,2.8904,6.5027,3.9002,0,4.2905,4.1271,1.0043
0,0,7.0573,0,0,0,0,1.0986,2.5657,0,0,0,4.6821,0,6.2711,5.2734,0,0,4.5109,0,0,0,0,0,6.3986,5.7526,5.3613,0,0,0,0,0.69315,6.4313,6.3665,4.5762,0,6.2748,4.9345,3.9318,8.0385,0,4.4998,7.7905,3.7377,4.3438,7.6356,0,0.69315,7.3481,0,0,0,5.3983,0,6.5162,5.6971,0,0,7.5198,8.7285,3.6109,2.6391,0,8.7691,2.4849,4.6914,6.0753,7.0542,5.6417,1.7918,0,2.0794,4.9577,0,4.3473,6.7054,6.1359,3.2189,0,5.5258,0,4.3814,1.9892,5.0687,5.2891,3.737,3.9858,3.8491,0,0,5.5466,0,6.1549,2.7081,2.5642,6.7436,6.0288,3.2581,7.5344,4.3175,0.71784
0,0,6.6874,0,0,3.912,0,3.7612,4.585,0,0,0,5.0562,0,2.3979,2.3979,0,2.6525,4.4308,1.3863,0,0,0,0,6.6113,3.8067,3.8295,0.69315,0,1.9459,0,0.69315,5.0106,5.6564,5.3068,0,1.6094,4.7274,4.7876,7.2333,0,4.4998,6.799,1.0986,2.4849,6.9518,0,1.3863,5.3698,0,0,0,5.6131,0,6.3134,0,0,0,5.8514,8.457,1.9459,3.1781,4.1744,7.718,5.0106,2.4849,3.0445,5.8112,5.3936,4.1271,0,3.4965,4.8675,0,5.8961,2.4301,5.4947,5.5938,0,5.4027,3.3322,4.5183,4.2594,4.2905,1.0953,2.3302,5.2469,3.5334,1.7918,2.4849,4.4428,0,5.8665,3.5553,1.805,5.7678,5.1803,0.69315,6.2297,5.2095,0
0,0,5.9413,0,0,2.397,0,2.7726,4.7622,0,0,0,4.6913,0,4.6052,4.0073,0,1.6582,5.2523,1.6094,0,0,0,0,6.425,6.1093,3.4012,0,0,0,0,0,4.2197,5.617,5.0632,0,2.9957,2.4849,4.9836,6.6803,0,4.3944,6.5936,2.7726,2.9444,6.3329,0,4.4067,5.9014,0,0,0,4.4698,0,6.3484,4.1785,0,0,5.6925,8.0338,5.1761,3.6889,3.5553,7.1942,4.4427,2.6433,4.382,6.5265,5.6525,4.8676,0,3.4645,5.2153,0,5.4173,5.1239,4.5935,5.6095,0,4.0985,0,4.382,2.3542,5.553,1.1086,3.9044,5.273,2.7961,0,0,4.1784,0,3.9703,0.69315,1.9459,5.384,2.599,0,6.6477,3.3322,0
0,0,6.3956,0,0,0.69315,0,3.2189,0,0,0,0,0,0,0,4.6913,0,0.95935,4.0943,6.1162,0,0,0,0,6.3934,6.1203,5.9506,0,0,0,0,0,6.0426,4.852,5.0935,0,2.7081,4.0775,5.1299,7.9163,0,2.6391,7.2442,3.3673,3.8501,6.5596,2.8332,0.69315,4.1048,0,0,0,6.0313,0,3.2958,0.69315,0,0,5.7194,8.0273,3.7612,1.9459,3.9703,7.6627,0,4.1894,2.9957,6.4558,4.6542,5.1292,0,2.1529,3.2581,0,5.1608,6.1688,4.982,5.6768,0,4.0128,0,4.1433,4.3011,4.7536,5.9116,2.4907,5.3889,3.4194,3.091,4.4308,6.0113,0,2.9887,0,2.9444,3.3297,3.3225,0,6.14,5.4161,0.72755
0,0,5.7948,0,0,1.3863,0,0,3.4657,0,0,0,4.1109,0,0,4.1271,0,0.59884,3.7136,1.0986,0,0,0,0,2.9439,4.9972,3.3673,0,0,0,0,0,4.7622,5.7777,4.681,0,5.0689,3.2581,4.9904,7.5833,0,4.2199,6.1964,0.69315,3.2958,6.6655,0,4.2485,5.3023,0,0,0,5.037,0,4.3567,4.7875,0,0,6.224,8.1554,0,1.3863,4.1431,7.6154,4.2047,3.4965,5.7104,5.9448,3.9318,6.2971,2.3979,3.7612,5.247,0,5.0406,5.8593,4.8514,4.9767,0,5.3414,3.6889,3.6889,5.0013,4.2485,1.3507,2.3721,5.1643,3.563,4.4427,0,5.1997,0,5.1705,1.0986,1.9459,2.8645,4.9152,1.9459,6.5737,4.0943,0.64185
0,0,6.2459,0,0,4.7812,0,1.0986,2.7081,0,0,0,1.7918,0,3.6949,5.624,0,1.9344,4.9906,5.0173,0,0,0,0,5.2446,5.6937,5.247,0.48243,0,0,0,0,4.3174,5.5134,5.3744,0,0,4.4556,5.5413,8.0592,0,3.0445,7.0692,0.69315,0,7.6476,0,4.1897,6.3039,0,0,0,5.2781,0,5.3758,2.6391,0,0,5.9751,8.3627,4.3041,3.3322,0,7.9682,5.193,3.8861,4.8598,5.247,0,5.7333,0,0,6.1225,0,6.184,6.677,5.3637,4.7622,0,5.5163,1.7918,4.8498,2.098,1.3863,1.2413,5.3143,5.7338,3.842,4.4773,0,4.8963,0,5.8889,0,2.6391,6.0454,3.0185,0,6.9315,4.8903,0
0,0,5.2985,0,0,3.5627,0,1.3863,3.7136,0,0,0,3.0445,0,2.4849,3.5835,0,0.57098,3.6376,0.69315,0,0,0,0,4.0765,3.2189,4.0254,0,0,0,0,0,3.9512,4.6821,4.1385,0,3.1781,0,4.7622,6.8561,0,3.989,5.6802,0,3.8918,6.4341,0,2.8904,6.1231,0,0,0,5.0626,0,5.6421,4.7003,0,0,3.2064,7.8249,4.465,2.7726,2.7726,6.142,4.1431,1.7918,4.5747,5.2933,4.6728,5.5526,0,0.69315,3.091,0,5.3784,4.778,4.7582,4.7622,0,4.2735,0,3.2958,3.4213,3.8286,1.1217,1.4493,4.4771,3.0096,1.7918,2.9397,4.5173,0,4.4308,1.6094,2.3979,5.3666,4.7325,1.0986,5.8394,1.3863,1.1053
0,0,4.6119,0,0,1.7918,0,0.69315,1.3863,0,0,0,0,0,1.6094,2.4849,1.3863,3.4785,2.3026,3.1781,0,0,0,1.3863,5.2523,4.1271,4.7791,0,0,0,0,0,3.1355,4.7888,4.4379,0,2.3979,2.4849,3.2189,6.3404,0,3.5835,5.6384,1.3863,2.7726,5.0309,0,2.8332,4.8321,0,0,0,2.8904,0,4.8231,3.2237,0,0,4.8038,7.9487,3.434,0,2.9444,6.4553,1.0986,3.9958,4.4886,5.076,4.0431,5.5952,0.69315,2.4849,3.2581,0,3.9591,3.8849,5.3224,4.4445,0,4.2703,1.3863,4.1875,4.1468,5.5203,5.0241,2.2721,4.2868,3.8955,0,3.0445,3.9224,0,0,1.3863,0.69315,4.5157,3.4356,1.0986,5.9137,2.7357,1.026
0,0,5.4498,0,0,1.9459,0,0.69315,3.2958,0,0,0,3.7377,0,0,3.2189,0,0,3.5264,0,0,0,0,0,3.1781,2.0794,3.6109,0,0,0,0,0,5.0991,4.5959,4.012,0,1.3863,4.2767,3.4657,6.568,0,3.1355,6.4377,3.0722,2.8332,6.2218,0,3.1781,5.911,0,0,0,4.2047,0,3.9703,4.0337,0,0,4.6585,6.6139,4.8122,3.0445,3.3673,6.8957,1.6094,2.6391,5.0999,5.112,4.8283,3.5264,0,1.0986,2.9444,0,4.9485,5.5427,4.2176,5.0039,0,2.7272,3.2958,4.7274,4.8262,5.0302,1.5686,3.1364,3.5553,2.3656,3.5553,0,4.6499,0,0,1.3863,0,4.7462,2.5696,0,5.112,2.0794,1.1442
0,0,5.735,0,0,4.2485,0,0,4.3045,0,0,0,0,0,0,4.4427,0,1.0953,4.0943,0,0,0,0,0,3.5633,3.7393,5.7071,0,0,0,0,0.69315,5.6278,5.5373,5.0557,0,1.3863,0,4.4427,7.1231,0,3.8918,7.0733,3.3322,3.434,6.7809,0,2.0794,3.5721,0,0,0,5.4809,0,6.5923,3.4012,0,0,6.7527,7.8751,0,2.1972,0,7.4243,2.7081,3.8501,3.3673,6.1399,2.5649,1.9488,0,4.654,2.7726,0,5.2544,6.0096,5.1691,5.3033,0,3.2992,0,1.3376,1.9516,4.1271,2.8196,4.3721,3.9114,3.7377,0.69315,0.69315,5.288,0,5.5053,0,0,5.1558,3.5237,0,6.0845,0,1.2865
0,0,6.9579,0,0,3.7612,0,0,4.8363,0,0,0,3.6376,0,4.16,5.0752,0,1.1969,1.9459,0.69315,0,0,0,0,0,5.8493,5.4467,0,0,0,0,0,5.3471,2.1972,4.7383,0,4.4773,4.7622,5.2575,8.5039,0,3.6109,7.6687,3.8501,4.8684,7.5293,0,3.6376,5.3442,0,0,0,5.7494,0,5.961,4.8479,0,0,6.9804,8.3582,4.2767,3.1355,0,8.3304,3.9703,4.5747,5.2095,1.7918,5.3891,5.7804,0,5.4988,6.1146,0,6.2671,5.4948,5.5135,5.8532,0,4.5222,0,5.3844,4.5286,4.9812,2.0055,4.377,6.4063,3.6866,2.4849,0,4.5588,0,6.5806,0,2.5649,6.7771,3.1497,1.6094,7.0484,4.9273,0
0,0,6.8227,0,0,4.1993,0,0,5.3759,0,0,0,0.69315,0,4.2905,1.6094,0,1.0508,4.4998,0,0,0,0,0,6.8763,5.9738,0,0,0,0,0,0,6.2848,5.2627,4.4899,0,1.0986,0,3.989,8.2757,0,3.9703,6.6405,4.6444,4.9768,7.6012,0,2.6391,3.6901,0,0,0,3.434,0,6.6662,6.089,0,0,7.2144,8.833,6.3351,3.2958,0,7.9512,2.4849,4.3567,5.9474,6.3886,6.477,6.7682,0,0,2.3979,0,5.283,6.6728,6.1787,1.3863,0,5.2365,0.69315,5.6802,3.3397,1.7918,5.9155,2.6831,4.3944,3.9046,2.7726,1.6094,6.8873,0,0,3.2189,2.0618,0,3.1697,1.7918,6.8876,0,0
0,0,5.2377,0,0,3.6109,0,1.6094,0.69315,0,0,0,5.6353,0,0,4.4287,0,0,2.3026,3.4657,0,0,0,0,4.2195,5.3753,5.4598,0,0,0,0,0.69315,1.6094,5.4468,4.0422,0,0,0,3.5835,7.0511,0,4.7622,6.1157,3.3322,2.8332,6.0806,0,2.7081,5.1917,0,0,0,3.8067,0,5.4591,1.3962,0,0,5.8392,8.0447,4.4543,3.6109,4.8122,6.1691,0,2.4849,4.6767,5.4721,3.3322,5.5566,0,1.3863,3.6109,0,4.0091,5.2581,4.8364,4.9273,0,3.7607,1.0986,0,4.9973,4.8283,4.8314,2.5128,5.5252,3.0091,0.69315,0,5.2874,0,3.1355,3.2581,0,5.1567,4.5125,0,6.5425,2.1972,0.56531
0,0,5.6221,0,0,3.9507,0,1.7918,3.6109,0,0,0,4.5433,0,3.2958,4.6052,0,1.8197,3.912,0,4.5618,0,0,0,4.1109,5.3132,2.5649,0,0,0,0,0,5.193,4.8283,4.7985,0,0,0,4.2341,6.8948,0,5.1648,6.9498,3.9316,3.6376,6.0487,0,3.4657,6.0864,0,0,0,5.4161,0,5.553,4.0601,0,0,5.4867,7.7566,4.0254,1.0986,4.1271,7.2526,0,3.8918,4.8122,5.8021,0,3.3673,0,4.2341,3.7842,0,5.0355,5.8021,4.921,5.6021,0,4.2103,0,3.8643,3.5065,4.92,4.4917,3.4304,5.0559,3.3017,0.69315,0,4.3664,0,4.6634,3.434,1.6094,5.3245,3.36,1.6094,6.1654,3.6109,0
0,0,5.6334,0,0,4.7005,0,0.69315,3.0455,0,0,0,5.323,0,3.3673,3.6889,0,0.65752,1.6094,0,0,0,0,0,4.7633,5.8636,2.7081,0,0,0,0,1.7918,0,5.2557,4.9291,0,2.0794,0,4.4427,7.7698,0,4.4658,7.3988,2.5893,3.8084,6.5251,0,1.9459,7.2795,0,0,0,5.6408,0,6.4573,5.5947,0,0,5.9514,6.6348,0,3.6889,4.2627,7.6671,1.9459,4.6634,4.2627,3.6636,0,5.5657,0,0,5.4889,0,6.328,5.1668,5.3712,5.7991,0,5.2683,0,2.1972,5.5494,4.6724,4.9274,2.8501,3.2581,3.4983,5.6454,0,4.784,0,2.9444,4.9273,0,4.3307,3.1884,1.3863,6.4409,4.6728,0
0,0,5.4243,0,0,0.69315,0,2.5657,4.4188,0,0,0,0,0,1.6074,4.0254,0,1.775,3.7377,1.9459,0,0,0,0,4.1184,3.1355,5.3083,0,0,0,0,0,3.1781,5.118,5.2804,0,3.2581,0,4.3694,7.3096,0,4.3307,5.7493,0.69315,1.0986,6.3372,0.69315,2.9444,4.8289,0,0,0,4.9628,0,5.4806,4.8675,0,0,5.1997,7.8846,0,3.6889,5.1013,6.7887,5.7621,3.6671,5.9379,4.8283,1.9459,5.4027,0.69315,4.1897,3.2189,0,5.5235,3.7521,5.5486,4.2767,0,5.1532,1.3863,4.8121,4.8103,5.5683,4.0711,2.6617,5.8225,3.7894,0,0.69315,4.1772,0,0.69315,4.5326,1.9459,0,4.602,0,6.5568,2.8904,1.3913
0,0,6.7127,0,0,1.0986,0,1.9459,0,0,0,0,5.0626,0,0,1.9459,0,0.75142,4.7536,5.8721,2.6391,0,0,0.67294,0,1.9459,1.7918,0,0,0,0,0,3.2189,5.5835,4.7126,0,3.2958,0,4.1897,7.6227,0,3.9512,7.5697,0.69315,3.091,5.2758,0,0,6.7969,0,0,0,5.4554,0,6.8697,5.4765,0,0,6.3661,7.8966,2.6391,0,0,7.86,3.5852,3.3336,5.2575,5.5294,5.578,3.8501,0,3.3673,3.0445,0,5.933,6.4094,5.4755,6.0521,0,3.991,4.8283,1.0986,1.2669,6.3351,1.0225,4.8097,3.9895,3.2862,0,0,4.113,0,0,1.3863,1.7918,1.7918,4.2093,0,6.5366,1.7918,0.52473
0,0,6.0197,0,0,4.3135,0,2.9957,3.7842,0,0,0,3.5264,0,3.4657,3.4657,0,0,3.5835,3.5264,1.0986,0,0,0,5.3428,6.1527,4.1897,0,0,0,0,0,5.0997,5.5645,5.1999,0,5.111,0,3.5835,7.6556,0,4.6048,6.8794,0,4.5433,7.1631,0,3.434,6.0581,0,0,0,4.9904,0,6.1469,5.0647,0,0,6.4568,8.1561,5.6802,3.9318,3.1355,7.2474,0,3.4025,4.9127,6.3315,4.9488,4.9036,0,1.7918,4.9698,0,5.5817,6.5403,4.5856,6.0799,0,4.5747,0,5.2387,4.0752,6.0014,2.8249,2.6741,5.4551,3.1476,4.5539,0,4.056,0,4.7186,0,0.69315,4.4886,3.1171,3.3673,6.4151,3.912,3.3073
0,0,5.3637,0,0,2.7726,0,0,1.7918,0,0,0,0,0,3.7842,3.7136,0,0,4.1431,3.6636,0,0,0,0,4.0073,5.4205,3.912,0,0,0,0,0,4.4068,4.7095,4.4818,0,0,2.0794,4.7622,6.9492,0,4.1744,6.3509,1.0986,4.0814,5.5882,0,2.1972,3.7131,0,0,0,5.1533,0,5.8635,0,0,0,5.4827,7.2588,5.0938,3.5553,3.0459,6.7897,4.9273,2.9444,5.5053,5.6837,3.4965,5.2879,0,0,5.3936,0,5.3954,5.746,5.031,5.6491,0,4.138,0,4.0943,3.6866,4.5004,4.6153,2.6721,4.2767,3.5415,0.69315,0,5.2724,0,2.8332,3.6889,2.7081,4.9972,4.4028,0,5.4116,1.6094,0
0,0,6.2725,0,0,0,0,0,2.9444,0,0,0,5.8406,0,4.1589,4.3307,0,0,4.5326,1.6094,0,0,0,0,6.0642,5.2933,4.5539,0,0,0,0,0,1.6094,5.9269,4.6771,0,3.912,2.3026,4.8442,7.3883,0,4.9065,6.7386,4.2485,4.5643,5.4406,0,2.7081,6.495,0,0,0,4.9433,0,5.4681,0,0,0,5.9571,7.4841,4.6633,3.0445,0.69315,6.9225,0,3.3322,4.5951,5.4293,4.5326,5.1705,0,1.0986,4.6881,0,5.7228,5.0454,3.1876,3.2958,0,4.0365,0,5.037,1.7544,4.8521,3.9795,0.72755,4.6914,1.4303,4.0254,1.0986,3.232,0,0.69315,2.4849,2.0794,5.6802,1.8342,3.5264,4.3944,3.8918,0
0,0,5.8658,0,0,0.69315,0,0,0,0,0,0,5.3375,0,4.9053,3.434,0,0.78846,4.0048,0.69315,0,0,0,0,5.2336,4.0073,1.7918,0,0,0,0,0,1.1119,1.6094,4.4711,0,2.7726,0,3.4965,7.2094,0,5.6095,5.9428,0,2.3979,6.8636,0,3.8286,6.2941,0,0,0,2.0794,0,2.3979,1.0986,0,0,5.5708,7.0633,5.4027,2.4849,4.5326,7.1553,0.69315,2.5726,4.8754,5.2042,0.69315,4.7095,3.1355,0,5.0689,0,3.5846,0,1.8017,0.69315,0,3.9062,0,5.0499,1.4951,2.3026,0.69813,3.9977,6.0258,2.8998,4.5218,2.7081,5.3243,0,0,0,0,6.2803,4.84,0,5.9216,3.7136,0.69315
